Generation,Fitness (R Square),MAE,Hidden Layers,Neurons Per Layer,Batch Size,Dropout,Initial Learn Rate
0,-0.03719786927103996,0.0010549539001658559,1.1291666214694562,35.36227999296828,1321.8332378893256,0.29443266722333417,0.052901790264491884
1,-0.03478386625647545,0.0010490663116797805,3.249995975994871,80.69395110272471,814.4473297790036,0.30877608341230317,0.005099912359357903
2,-0.032242320477962494,0.0010486467508599162,1.1291666214694562,80.69395110272471,1321.8332378893256,0.30877608341230317,0.005099912359357903
3,-0.032089054584503174,0.0010468231048434973,1.1291666214694562,80.69395110272471,1321.8332378893256,0.30877608341230317,0.005099912359357903
4,-0.03186066076159477,0.0010478098411113024,1.1291666214694562,80.69395110272471,1321.8332378893256,0.30877608341230317,0.005099912359357903
5,-0.031758736819028854,0.0010472256690263748,1.1291666214694562,80.69395110272471,1321.8332378893256,0.30877608341230317,0.005099912359357903
6,-0.03212669491767883,0.0010473431320860982,1.1291666214694562,35.36227999296828,1321.8332378893256,0.4293897437542954,0.005099912359357903
7,-0.031174207106232643,0.0010469745611771941,1.1291666214694562,35.36227999296828,1321.8332378893256,0.4293897437542954,0.005099912359357903
8,-0.03117438778281212,0.001046836143359542,1.1291666214694562,35.36227999296828,1321.8332378893256,0.4293897437542954,0.005099912359357903
9,-0.031865861266851425,0.0010481795761734247,1.1291666214694562,35.36227999296828,1321.8332378893256,0.4293897437542954,0.005099912359357903
10,-0.030907820910215378,0.001046388759277761,1.1291666214694562,35.36227999296828,1321.8332378893256,0.4293897437542954,0.005099912359357903
11,-0.031585242599248886,0.001047894242219627,1.1291666214694562,35.36227999296828,1321.8332378893256,0.4293897437542954,0.005099912359357903
12,-0.031060881912708282,0.0010466225212439895,1.1291666214694562,35.36227999296828,1939.3433422735761,0.4293897437542954,0.005099912359357903
13,-0.031099459156394005,0.0010471874848008156,1.1291666214694562,35.36227999296828,1947.7141143518509,0.4293897437542954,0.005099912359357903
14,-0.0312114916741848,0.0010466398671269417,1.1291666214694562,35.36227999296828,1939.3433422735761,0.4293897437542954,0.005099912359357903
15,-0.031329844146966934,0.001046319492161274,1.1291666214694562,35.36227999296828,1939.3433422735761,0.4293897437542954,0.005099912359357903
16,-0.031217504292726517,0.0010461442871019244,1.1291666214694562,35.36227999296828,1939.3433422735761,0.4293897437542954,0.005099912359357903
17,-0.030623918399214745,0.0010464548831805587,1.1291666214694562,35.36227999296828,1947.7141143518509,0.4293897437542954,0.005099912359357903
18,-0.031373001635074615,0.0010471474379301071,1.1291666214694562,35.36227999296828,1947.7141143518509,0.4293897437542954,0.005099912359357903
19,-0.030526112765073776,0.0010468335822224617,1.1291666214694562,35.36227999296828,1947.7141143518509,0.4293897437542954,0.005099912359357903
20,-0.030836330726742744,0.0010469290427863598,1.1291666214694562,35.36227999296828,1947.7141143518509,0.4293897437542954,0.005099912359357903
