Generation,Fitness (Sparse Categorical Cross Entropy),Accuracy,Hidden Layers,Neurons Per Layer,Batch Size,Dropout,Initial Learn Rate
0,-0.6862738132476807,0.5537832379341125,2.2944587219885895,20.065068527001984,1445.041507595498,0.4175300608552548,0.022432801051626254
1,-0.686373233795166,0.5520449876785278,2.8138405837958897,112.14198302935586,1004.907420584461,0.3099732715896494,0.0005279218043291118
2,-0.6873264908790588,0.5470858812332153,2.8138405837958897,84.73880074412985,1004.907420584461,0.3099732715896494,0.0005279218043291118
3,-0.6865517497062683,0.5521472096443176,2.8138405837958897,84.73880074412985,1004.907420584461,0.3099732715896494,0.0005279218043291118
4,-0.6863404512405396,0.5470858812332153,1.7352817818077488,112.14198302935586,1382.6457823312737,0.4969453530809947,0.003725545984696872
5,-0.6871954202651978,0.5478527545928955,3.7013065517847608,118.58096873387618,1747.240697829767,0.26513510039261434,0.0005279218043291118
6,-0.6870758533477783,0.5487219095230103,2.5754472463108358,16.684413039853176,633.1492758930307,0.4942848233607706,0.0036650201239399726
7,-0.6859070062637329,0.5491308569908142,2.3478797924580785,112.14198302935586,434.9979563050747,0.3958460366042085,0.0005279218043291118
8,-0.6869592666625977,0.5416666865348816,2.3478797924580785,55.38409485432753,1004.907420584461,0.4942848233607706,0.004636193946842765
9,-0.6861885190010071,0.5515337586402893,2.254997824594896,16.684413039853176,1624.3821716245964,0.1258098640290456,0.003725545984696872
10,-0.6876047253608704,0.5447852611541748,2.254997824594896,16.684413039853176,1624.3821716245964,0.1258098640290456,0.003725545984696872
11,-0.686699628829956,0.5502045154571533,2.06588633958377,55.38409485432753,360.79118915042864,0.3744214735869228,0.0005279218043291118
12,-0.6857220530509949,0.5568507313728333,2.254997824594896,16.684413039853176,1624.3821716245964,0.3099732715896494,0.003725545984696872
13,-0.6850636601448059,0.5503578782081604,2.3478797924580785,60.296109900887686,1533.6507135816212,0.4714171367290059,0.003725545984696872
14,-0.6868559122085571,0.5533742308616638,3.8406271637596134,16.684413039853176,1624.3821716245964,0.3099732715896494,0.003725545984696872
